char,hskLevels,pinyin,hanViet,meaningShortVi,radicalStatus,radicalForm,radicalNameVi,strokeCount,formationTypeVi,formationStatus,componentCount,relatedWordCount,sentenceCount,pdfCandidatePages,qualityStatus,missing
图,3,tú,Đồ,bức tranh,verified,囗,Bộ Vi,8,,not-available,2,7,12,,PASS,"hasFormationType,hasPdfCandidate"
土,3,tǔ,Thổ,đất,verified,土,Bộ Thổ,3,,not-available,0,6,9,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
声,3,shēng,Thanh,âm thanh,verified,耳,Bộ Nhĩ,7,,not-available,0,9,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
存,3,cún,Tồn,tiết kiệm,verified,子,"Bộ Tử, Tý",,hình thanh,source-backed,2,7,12,,PASS,"hasStrokeCount,hasPdfCandidate"
富,3,fù,Phú,giàu có,verified,宀,Bộ Miên,,hình thanh,source-backed,2,6,12,523,PASS,hasStrokeCount
属,3,shǔ,Thuộc,sinh vào năm,verified,尸,Bộ Thi,12,,not-available,2,6,9,,PASS,"hasFormationType,hasPdfCandidate"
巧,3,qiǎo,Xảo,khéo léo,verified,工,Bộ Công,5,hình thanh,source-backed,2,6,2,,PASS,hasPdfCandidate
已,3,yǐ,Dĩ,đã,verified,己,Bộ Kỷ,3,,not-available,0,6,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
布,3,bù,Bố,vải,verified,巾,Bộ Cân,,hình thanh,source-backed,2,6,7,,PASS,"hasStrokeCount,hasPdfCandidate"
并,3,bìng,,hoàn toàn không,verified,立,Bộ Lập,6,,not-available,2,6,2,,PASS,"hasHanViet,hasFormationType,hasPdfCandidate"
建,3,jiàn,Kiến,xây dựng,verified,聿,Bộ Duật,9,hội ý,needs-review,2,7,12,,PASS,hasPdfCandidate
强,3,qiáng,Càng,mạnh,verified,弓,Bộ Cung,11,hình thanh,source-backed,2,7,12,,PASS,hasPdfCandidate
录,3,lù,,"ghi âm, đăng ký",verified,金,Bộ Kim,8,hình thanh,source-backed,2,6,3,,PASS,"hasHanViet,hasPdfCandidate"
念,3,niàn,Niệm,đọc to,verified,心,Bộ Tâm,,hình thanh,source-backed,2,7,12,477,PASS,hasStrokeCount
性,3,xìng,Tính,tính cách,verified,忄,Bộ Tâm,8,hình thanh,source-backed,2,11,12,739,PASS,
总,3,zǒng,Tổng,tổng,verified,糹,Bộ Mịch,9,hình thanh,source-backed,2,6,12,,PASS,hasPdfCandidate
惨,3,cǎn,Thảm,bi thảm,verified,忄,Bộ Tâm,11,hình thanh,source-backed,2,7,4,,PASS,hasPdfCandidate
把,3,bǎ,Bã,giới từ 'ba',verified,扌,Bộ Thủ,,hình thanh,source-backed,2,6,12,,PASS,"hasStrokeCount,hasPdfCandidate"
抓,3,zhuā,Co,"bắt, nắm bắt",verified,扌,Bộ Thủ,8,hình thanh,source-backed,2,6,5,,PASS,hasPdfCandidate
拍,3,pāi,Phếch,chụp,verified,扌,Bộ Thủ,,hình thanh,source-backed,2,6,3,,PASS,"hasStrokeCount,hasPdfCandidate"
拎,3,līn,,xách,verified,扌,Bộ Thủ,9,hình thanh,source-backed,2,1,0,,PARTIAL,"hasHanViet,hasSentences,hasPdfCandidate"
指,3,zhǐ,Chỉ,chỉ,verified,扌,Bộ Thủ,,hình thanh,source-backed,2,9,12,,PASS,"hasStrokeCount,hasPdfCandidate"
捆,3,kǔn,,buộc lại với nhau,verified,扌,Bộ Thủ,10,hình thanh,source-backed,2,2,0,,PARTIAL,"hasHanViet,hasSentences,hasPdfCandidate"
捐,3,juān,Quyên / Quen / Quên,quyên góp,verified,扌,Bộ Thủ,10,hình thanh,source-backed,2,6,5,,PASS,hasPdfCandidate
揍,3,zòu,,"đánh, đấm",verified,扌,Bộ Thủ,12,hình thanh,source-backed,2,1,0,,PARTIAL,"hasHanViet,hasSentences,hasPdfCandidate"
撞,3,zhuàng,Chàng,đụng,verified,扌,Bộ Thủ,15,hình thanh,source-backed,2,6,4,,PASS,hasPdfCandidate
救,3,jiù,Cứu,cứu giúp,verified,攵,Bộ Phộc,,hình thanh,source-backed,2,6,8,,PASS,"hasStrokeCount,hasPdfCandidate"
整,3,zhěng,Chỉnh,toàn bộ,verified,攴,Bộ Phộc,16,hình thanh,source-backed,2,8,12,,PASS,hasPdfCandidate
断,3,duàn,Đoạn,bẻ gãy,not-found,◎,,,,not-available,2,7,12,,PARTIAL,"hasRadical,hasStrokeCount,hasFormationType,hasPdfCandidate"
显,3,xiǎn,Hiển,hiển thị,verified,日,Bộ Nhật,9,hình thanh,source-backed,2,7,10,,PASS,hasPdfCandidate
晾,3,liàng,,phơi,verified,日,Bộ Nhật,11,hình thanh,source-backed,2,1,0,70,PARTIAL,"hasHanViet,hasSentences"
期,3,qī,Kì,kỳ,verified,月,"Bộ Nguyệt,Nhục",12,hình thanh,source-backed,2,20,12,,PASS,hasPdfCandidate
村,3,cūn,Thôn,làng,verified,木,Bộ Mộc,7,hình thanh,source-backed,2,6,12,,PASS,hasPdfCandidate
板,3,bǎn,Ván,"ván, bảng",verified,木,Bộ Mộc,8,hình thanh,source-backed,2,7,7,,PASS,hasPdfCandidate
极,3,jí,Cực,cực kỳ,verified,木,Bộ Mộc,,hình thanh,source-backed,2,7,9,,PASS,"hasStrokeCount,hasPdfCandidate"
架,3,jià,Giá,kệ,verified,木,Bộ Mộc,9,hình thanh,source-backed,2,8,7,,PASS,hasPdfCandidate
某,3,mǒu,Mỗ,một số,verified,甘,Bộ Cam,,hội ý,needs-review,2,6,3,,PASS,"hasStrokeCount,hasPdfCandidate"
桥,3,qiáo,Kiều,cầu,verified,木,Bộ Mộc,,hình thanh,source-backed,2,7,7,,PASS,"hasStrokeCount,hasPdfCandidate"
步,3,bù,Bộ,bước,verified,止,Bộ Chỉ,7,,not-available,2,7,12,52,PASS,hasFormationType
派,3,pài,Phái,phái đi,verified,氵,Bộ Thủy,,,not-available,2,6,4,,PASS,"hasStrokeCount,hasFormationType,hasPdfCandidate"
滴,3,dī,Nhích,giọt,verified,氵,Bộ Thủy,14,hình thanh,source-backed,2,6,4,,PASS,hasPdfCandidate
潮,3,cháo,Triều,thuỷ triều,verified,氵,Bộ Thủy,15,hình thanh,source-backed,2,6,0,756,PARTIAL,hasSentences
灾,3,zāi,Tai,thảm họa,verified,宀,Bộ Miên,7,hội ý,needs-review,2,6,1,586,PASS,
烟,3,yān,,khói,verified,火,Bộ Hỏa,10,hình thanh,source-backed,2,7,11,,PASS,"hasHanViet,hasPdfCandidate"
环,3,huán,,bao quanh,not-found,王,,9,hình thanh,source-backed,2,7,12,,PARTIAL,"hasHanViet,hasRadical,hasPdfCandidate"
痛,3,tòng,Thống,đau,verified,疒,Bộ Nạch,12,hình thanh,source-backed,2,7,10,,PASS,hasPdfCandidate
瘦,3,shòu,Xấu,gầy,verified,疒,Bộ Nạch,,hình thanh,source-backed,2,6,4,,PASS,"hasStrokeCount,hasPdfCandidate"
皮,3,pí,Bì,da,verified,皮,Bộ Bì,5,,not-available,2,8,7,43,PASS,hasFormationType
盛,3,chéng,Thịnh,đổ đầy,verified,皿,Bộ Mãnh,11,hình thanh,source-backed,2,7,9,,PASS,hasPdfCandidate
直,3,zhí,,thẳng,not-found,◎,,,,not-available,3,6,12,769,PARTIAL,"hasHanViet,hasRadical,hasStrokeCount,hasFormationType"
福,3,fú,Phúc,hạnh phúc,not-found,礻,,13,hình thanh,source-backed,2,6,9,530,PARTIAL,hasRadical
秀,3,xiù,Tú,"Biểu diễn, trình diễn",verified,禾,Bộ Hòa,,,not-available,2,6,4,774,PASS,"hasStrokeCount,hasFormationType"
空,3,kōng,Không,"trống, trống rỗng",verified,穴,Bộ Huyệt,8,hình thanh,source-backed,2,13,12,,PASS,hasPdfCandidate
窄,3,zhǎi,,hẹp,verified,穴,Bộ Huyệt,10,hình thanh,source-backed,2,6,0,,PARTIAL,"hasHanViet,hasSentences,hasPdfCandidate"
管,3,guǎn,Quản,ống,not-found,⺮,,,hình thanh,source-backed,2,6,12,,PARTIAL,"hasRadical,hasStrokeCount,hasPdfCandidate"
箭,3,jiàn,Tiễn,mũi tên,verified,竹,Bộ Trúc,15,hình thanh,source-backed,2,6,0,,PARTIAL,"hasSentences,hasPdfCandidate"
类,3,lèi,Loại,loại,verified,米,Bộ Mễ,,hội ý,needs-review,3,8,12,,PASS,"hasStrokeCount,hasPdfCandidate"
糖,3,táng,Đường,"đường, kẹo",verified,米,Bộ Mễ,,hình thanh,source-backed,2,6,3,,PASS,"hasStrokeCount,hasPdfCandidate"
糟,3,zāo,,khủng khiếp,verified,米,Bộ Mễ,20,hình thanh,source-backed,2,6,4,,PASS,"hasHanViet,hasPdfCandidate"
素,3,sù,Tố,ăn chay,verified,糸,Bộ Mịch,10,,not-available,2,6,4,747,PASS,hasFormationType
线,3,xiàn,,"dòng, sợi, tuyến",verified,纟,Bộ Mịch,8,hình thanh,source-backed,2,6,8,,PASS,"hasHanViet,hasPdfCandidate"
缺,3,quē,Khuyết,thiếu,verified,缶,"Bộ Phẫu, Phữu",10,hình thanh,source-backed,2,7,12,,PASS,hasPdfCandidate
罐,3,guàn,,lọ,verified,缶,"Bộ Phẫu, Phữu",23,hình thanh,source-backed,2,6,0,,PARTIAL,"hasHanViet,hasSentences,hasPdfCandidate"
者,3,zhě,,người đó,not-found,,,8,,not-available,0,9,12,,PARTIAL,"hasHanViet,hasRadical,hasComponents,hasFormationType,hasPdfCandidate"
聊,3,liáo,,trò chuyện,verified,耳,Bộ Nhĩ,11,hình thanh,source-backed,2,8,12,,PASS,"hasHanViet,hasPdfCandidate"
胜,3,shèng,Thắng,chiến thắng,verified,月,"Bộ Nguyệt,Nhục",9,hình thanh,source-backed,2,7,6,,PASS,hasPdfCandidate
血,3,xuè,Huyết,máu,verified,血,Bộ Huyết,,,not-available,2,7,8,299,PASS,"hasStrokeCount,hasFormationType"
被,3,bèi,Bị,bởi,verified,衤,Bộ Y,,hình thanh,source-backed,2,6,12,,PASS,"hasStrokeCount,hasPdfCandidate"
订,3,dìng,Đính,"đặt, đặt hàng",verified,讠,Bộ Ngôn,5,hình thanh,source-backed,2,6,3,217,PASS,
讨,3,tǎo,Thảo,hỏi xin,verified,讠,Bộ Ngôn,5,hội ý,needs-review,2,7,9,,PASS,hasPdfCandidate
证,3,zhèng,Chứng,chứng chỉ,verified,讠,Bộ Ngôn,9,hình thanh,source-backed,2,9,12,,PASS,hasPdfCandidate
调,3,diào,Điều,điều chỉnh,verified,讠,Bộ Ngôn,10,hình thanh,source-backed,2,7,12,,PASS,hasPdfCandidate
谈,3,tán,Đàm,"nói chuyện, tán gẫu",verified,讠,Bộ Ngôn,,hình thanh,source-backed,2,7,10,,PASS,"hasStrokeCount,hasPdfCandidate"
贬,3,biǎn,Biếm,Giáng chức,not-found,,,,,not-available,0,6,2,,PARTIAL,"hasRadical,hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
费,3,fèi,Phí,phí,verified,贝,Bộ Bối,9,hình thanh,source-backed,2,9,12,,PASS,hasPdfCandidate
赶,3,gǎn,,"vội vàng, lái xe, đuổi kịp",verified,走,Bộ Tẩu,11,hình thanh,source-backed,2,7,12,,PASS,"hasHanViet,hasPdfCandidate"
较,3,jiào,,tương đối,verified,车,Bộ Xa,13,hình thanh,source-backed,2,6,11,,PASS,"hasHanViet,hasPdfCandidate"
连,3,lián,Liên,thậm chí,verified,车,Bộ Xa,,,not-available,0,8,8,,PASS,"hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
追,3,zhuī,Truy,theo đuổi,verified,辶,Bộ Sước,9,hình thanh,source-backed,2,6,5,,PASS,hasPdfCandidate
退,3,tuì,Thoái,rút lui,verified,辶,Bộ Sước,,,not-available,3,6,10,673,PASS,"hasStrokeCount,hasFormationType"
造,3,zào,Tạo,xây dựng,verified,辶,Bộ Sước,10,hình thanh,source-backed,2,6,8,,PASS,hasPdfCandidate
配,3,pèi,Phối,phù hợp,verified,酉,Bộ Dậu,10,hình thanh,source-backed,2,6,8,519,PASS,
酷,3,kù,Khốc,ngầu,verified,酉,Bộ Dậu,14,hình thanh,source-backed,2,6,1,,PASS,hasPdfCandidate
金,3,jīn,Kim,kim loại,verified,金,Bộ Kim,8,hình thanh,source-backed,2,8,9,338,PASS,
钉,3,dìng,Đinh,đóng đinh,verified,金,Bộ Kim,8,hình thanh,source-backed,2,6,3,,PASS,hasPdfCandidate
钟,3,zhōng,Chung,đồng hồ,verified,钅,Bộ Kim,,hình thanh,source-backed,2,7,12,,PASS,"hasStrokeCount,hasPdfCandidate"
铁,3,tiě,Thiết,sắt,verified,钅,Bộ Kim,10,hình thanh,source-backed,2,7,10,,PASS,hasPdfCandidate
银,3,yín,Ngân,bạc,verified,钅,Bộ Kim,,hình thanh,source-backed,2,8,12,,PASS,"hasStrokeCount,hasPdfCandidate"
防,3,fáng,Phòng,phòng thủ,ambiguous,阝,,7,hình thanh,source-backed,2,6,11,,PARTIAL,"hasRadical,hasPdfCandidate"
静,3,jìng,,yên tĩnh,verified,青,Bộ Thanh,14,hình thanh,source-backed,2,6,12,,PASS,"hasHanViet,hasPdfCandidate"
领,3,lǐng,Lãnh,cổ,verified,页,Bộ Hiệt,11,hình thanh,source-backed,2,9,12,,PASS,hasPdfCandidate
馆,3,guǎn,Quán,nhà hát,verified,饣,Bộ Thực,11,hình thanh,source-backed,2,9,12,,PASS,hasPdfCandidate
齐,3,qí,Tày,gọn gàng,not-found,,,6,,not-available,0,6,8,,PARTIAL,"hasRadical,hasComponents,hasFormationType,hasPdfCandidate"
