char,hskLevels,pinyin,hanViet,meaningShortVi,radicalStatus,radicalForm,radicalNameVi,strokeCount,formationTypeVi,formationStatus,componentCount,relatedWordCount,sentenceCount,pdfCandidatePages,qualityStatus,missing
都,"1,2,3",dōu,Đô,tất cả,not-found,⻏,,,hình thanh,source-backed,2,6,12,,PARTIAL,"hasRadical,hasStrokeCount,hasPdfCandidate"
酒,"1,2,3",jiǔ,,rượu,verified,氵,Bộ Thủy,10,hình thanh,source-backed,2,11,12,798,PASS,hasHanViet
醉,1,zuì,,say rượu,verified,酉,Bộ Dậu,15,hình thanh,source-backed,2,6,4,784,PASS,hasHanViet
里,"1,3",lǐ,Lịa,trong,verified,田,Bộ Điền,7,hội ý,needs-review,2,12,12,376,PASS,
重,"1,2,3",zhòng,Trọng,nặng,verified,亻,Bộ Nhân,,,not-available,2,10,12,761,PASS,"hasStrokeCount,hasFormationType"
钱,"1,2",qián,Tiền,tiền,verified,金,Bộ Kim,10,hình thanh,source-backed,2,7,12,,PASS,hasPdfCandidate
错,"1,2,3",cuò,Thó,sai,verified,钅,Bộ Kim,,,not-available,0,6,12,,PASS,"hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
长,"1,2,3",cháng,Trường,dài,not-found,,,4,,not-available,0,20,12,,PARTIAL,"hasRadical,hasComponents,hasFormationType,hasPdfCandidate"
门,"1,2,3",mén,Môn,"cửa, cổng, lối vào",verified,门,Bộ Môn,,,not-available,0,12,12,,PASS,"hasStrokeCount,hasComponents,hasFormationType,hasPdfCandidate"
问,"1,2,3",wèn,,hỏi,verified,口,Bộ Khẩu,11,hình thanh,source-backed,2,10,12,,PASS,"hasHanViet,hasPdfCandidate"
间,"1,2",jiān,Gian,phòng,verified,门,Bộ Môn,7,,not-available,2,10,12,,PASS,"hasFormationType,hasPdfCandidate"
难,"1,3",nán,Nan,khó,verified,隹,Bộ Chuy,,,not-available,2,16,12,,PASS,"hasStrokeCount,hasFormationType,hasPdfCandidate"
