char,tier,status,inputForm,mainForm,radicalName,kangxiNo,resolutionType,source
糺,C,not-resolved,,,,,not-resolved,data/chars/7CFA.json
系,A,resolved,又,又,Bộ Hựu,29,record-radical,data/chars/7CFB.json
紊,A,resolved,糸,糸,Bộ Mịch,120,record-radical,data/chars/7D0A.json
紑,C,not-resolved,,,,,not-resolved,data/chars/7D11.json
紟,C,not-resolved,,,,,not-resolved,data/chars/7D1F.json
素,A,resolved,糸,糸,Bộ Mịch,120,record-radical,data/chars/7D20.json
索,A,resolved,廾,廾,Bộ Củng,55,record-radical,data/chars/7D22.json
紧,A,resolved,又,又,Bộ Hựu,29,record-radical,data/chars/7D27.json
紩,C,not-resolved,,,,,not-resolved,data/chars/7D29.json
紫,A,resolved,糸,糸,Bộ Mịch,120,record-radical,data/chars/7D2B.json
累,C,not-resolved,,,,,not-resolved,data/chars/7D2F.json
紽,C,not-resolved,,,,,not-resolved,data/chars/7D3D.json
紾,C,not-resolved,,,,,not-resolved,data/chars/7D3E.json
絁,C,not-resolved,,,,,not-resolved,data/chars/7D41.json
絃,C,not-resolved,,,,,not-resolved,data/chars/7D43.json
経,C,not-resolved,,,,,not-resolved,data/chars/7D4C.json
絍,C,not-resolved,,,,,not-resolved,data/chars/7D4D.json
絓,B,resolved,糹,糸,Bộ Mịch,120,record-radical,data/chars/7D53.json
絖,C,not-resolved,,,,,not-resolved,data/chars/7D56.json
絘,B,resolved,糹,糸,Bộ Mịch,120,record-radical,data/chars/7D58.json
絚,C,not-resolved,,,,,not-resolved,data/chars/7D5A.json
絜,B,resolved,糸,糸,Bộ Mịch,120,record-radical,data/chars/7D5C.json
絣,C,not-resolved,,,,,not-resolved,data/chars/7D63.json
絫,C,not-resolved,,,,,not-resolved,data/chars/7D6B.json
絮,A,resolved,糸,糸,Bộ Mịch,120,record-radical,data/chars/7D6E.json
絵,C,not-resolved,,,,,not-resolved,data/chars/7D75.json
絷,C,not-resolved,,,,,not-resolved,data/chars/7D77.json
絻,B,resolved,糹,糸,Bộ Mịch,120,record-radical,data/chars/7D7B.json
絿,C,not-resolved,,,,,not-resolved,data/chars/7D7F.json
綂,C,not-resolved,,,,,not-resolved,data/chars/7D82.json
綅,C,not-resolved,,,,,not-resolved,data/chars/7D85.json
綍,C,not-resolved,,,,,not-resolved,data/chars/7D8D.json
綎,C,not-resolved,,,,,not-resolved,data/chars/7D8E.json
綗,C,not-resolved,,,,,not-resolved,data/chars/7D97.json
綘,C,not-resolved,,,,,not-resolved,data/chars/7D98.json
継,C,not-resolved,,,,,not-resolved,data/chars/7D99.json
続,C,not-resolved,,,,,not-resolved,data/chars/7D9A.json
綥,C,not-resolved,,,,,not-resolved,data/chars/7DA5.json
綦,B,resolved,糸,糸,Bộ Mịch,120,record-radical,data/chars/7DA6.json
綮,C,not-resolved,,,,,not-resolved,data/chars/7DAE.json
綷,B,resolved,糹,糸,Bộ Mịch,120,record-radical,data/chars/7DB7.json
緁,C,not-resolved,,,,,not-resolved,data/chars/7DC1.json
緅,C,not-resolved,,,,,not-resolved,data/chars/7DC5.json
緆,C,not-resolved,,,,,not-resolved,data/chars/7DC6.json
緌,C,not-resolved,,,,,not-resolved,data/chars/7DCC.json
緎,C,not-resolved,,,,,not-resolved,data/chars/7DCE.json
総,C,not-resolved,,,,,not-resolved,data/chars/7DCF.json
緑,C,not-resolved,,,,,not-resolved,data/chars/7DD1.json
緖,C,not-resolved,,,,,not-resolved,data/chars/7DD6.json
緤,C,not-resolved,,,,,not-resolved,data/chars/7DE4.json
緪,C,not-resolved,,,,,not-resolved,data/chars/7DEA.json
緫,C,not-resolved,,,,,not-resolved,data/chars/7DEB.json
縁,C,not-resolved,,,,,not-resolved,data/chars/7E01.json
縂,C,not-resolved,,,,,not-resolved,data/chars/7E02.json
縃,C,not-resolved,,,,,not-resolved,data/chars/7E03.json
縄,C,not-resolved,,,,,not-resolved,data/chars/7E04.json
縏,C,not-resolved,,,,,not-resolved,data/chars/7E0F.json
縚,C,not-resolved,,,,,not-resolved,data/chars/7E1A.json
縠,C,not-resolved,,,,,not-resolved,data/chars/7E20.json
縡,C,not-resolved,,,,,not-resolved,data/chars/7E21.json
縢,C,not-resolved,,,,,not-resolved,data/chars/7E22.json
縦,C,not-resolved,,,,,not-resolved,data/chars/7E26.json
縩,B,resolved,糹,糸,Bộ Mịch,120,record-radical,data/chars/7E29.json
縰,C,not-resolved,,,,,not-resolved,data/chars/7E30.json
縻,B,resolved,糸,糸,Bộ Mịch,120,record-radical,data/chars/7E3B.json
縿,C,not-resolved,,,,,not-resolved,data/chars/7E3F.json
繁,A,resolved,糸,糸,Bộ Mịch,120,record-radical,data/chars/7E41.json
繄,C,not-resolved,,,,,not-resolved,data/chars/7E44.json
繇,C,not-resolved,系,,,,not-resolved,data/chars/7E47.json
繈,C,not-resolved,,,,,not-resolved,data/chars/7E48.json
繊,C,not-resolved,,,,,not-resolved,data/chars/7E4A.json
繋,C,not-resolved,,,,,not-resolved,data/chars/7E4B.json
繐,C,not-resolved,,,,,not-resolved,data/chars/7E50.json
繘,C,not-resolved,,,,,not-resolved,data/chars/7E58.json
繙,C,not-resolved,,,,,not-resolved,data/chars/7E59.json
繠,C,not-resolved,,,,,not-resolved,data/chars/7E60.json
繣,C,not-resolved,,,,,not-resolved,data/chars/7E63.json
繨,C,not-resolved,,,,,not-resolved,data/chars/7E68.json
纂,B,resolved,糸,糸,Bộ Mịch,120,record-radical,data/chars/7E82.json
纉,C,not-resolved,,,,,not-resolved,data/chars/7E89.json
纎,C,not-resolved,,,,,not-resolved,data/chars/7E8E.json
纑,C,not-resolved,,,,,not-resolved,data/chars/7E91.json
纒,C,not-resolved,,,,,not-resolved,data/chars/7E92.json
纙,C,not-resolved,,,,,not-resolved,data/chars/7E99.json
纚,C,not-resolved,,,,,not-resolved,data/chars/7E9A.json
纛,C,not-resolved,,,,,not-resolved,data/chars/7E9B.json
纟,B,resolved,纟,糸,Bộ Mịch,120,radical-variant,radical_alias_index.json
纠,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EA0.json
纡,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EA1.json
红,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EA2.json
纣,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EA3.json
纤,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EA4.json
纥,C,not-resolved,乞,,,,not-resolved,data/chars/7EA5.json
约,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EA6.json
级,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EA7.json
纨,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EA8.json
纩,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EA9.json
纪,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EAA.json
纫,C,not-resolved,,,,,not-resolved,data/chars/7EAB.json
纬,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EAC.json
纭,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EAD.json
纮,C,not-resolved,,,,,not-resolved,data/chars/7EAE.json
纯,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EAF.json
纰,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EB0.json
纱,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EB1.json
纲,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EB2.json
纳,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EB3.json
纴,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EB4.json
纵,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EB5.json
纶,C,not-resolved,,,,,not-resolved,data/chars/7EB6.json
纷,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EB7.json
纸,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EB8.json
纹,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EB9.json
纺,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EBA.json
纻,C,not-resolved,,,,,not-resolved,data/chars/7EBB.json
纽,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EBD.json
纾,C,not-resolved,,,,,not-resolved,data/chars/7EBE.json
线,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EBF.json
绀,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EC0.json
绁,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EC1.json
绂,C,not-resolved,,,,,not-resolved,data/chars/7EC2.json
练,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EC3.json
组,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EC4.json
绅,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EC5.json
细,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EC6.json
织,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EC7.json
终,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EC8.json
绉,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EC9.json
绊,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ECA.json
绋,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ECB.json
绌,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ECC.json
绍,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ECD.json
绎,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ECE.json
经,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ECF.json
绐,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ED0.json
绑,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ED1.json
绒,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ED2.json
结,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ED3.json
绔,C,not-resolved,,,,,not-resolved,data/chars/7ED4.json
绕,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ED5.json
绖,C,not-resolved,,,,,not-resolved,data/chars/7ED6.json
绗,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ED7.json
绘,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ED8.json
给,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7ED9.json
绚,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EDA.json
绛,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EDB.json
络,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EDC.json
绝,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EDD.json
绞,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EDE.json
统,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EDF.json
绠,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EE0.json
绡,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EE1.json
绢,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EE2.json
绣,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EE3.json
绤,C,not-resolved,,,,,not-resolved,data/chars/7EE4.json
绥,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EE5.json
绦,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EE6.json
继,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EE7.json
绨,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EE8.json
绩,A,resolved,糹,糸,Bộ Mịch,120,record-radical,data/chars/7EE9.json
绪,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EEA.json
绫,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EEB.json
续,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EED.json
绮,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EEE.json
绯,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EEF.json
绰,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EF0.json
绱,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EF1.json
绲,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EF2.json
绳,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EF3.json
维,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EF4.json
绵,C,not-resolved,,,,,not-resolved,data/chars/7EF5.json
绶,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EF6.json
绷,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EF7.json
绸,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EF8.json
绹,C,not-resolved,,,,,not-resolved,data/chars/7EF9.json
绺,C,not-resolved,,,,,not-resolved,data/chars/7EFA.json
绻,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EFB.json
综,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EFC.json
绽,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EFD.json
绾,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EFE.json
绿,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7EFF.json
缀,C,not-resolved,,,,,not-resolved,data/chars/7F00.json
缁,C,not-resolved,,,,,not-resolved,data/chars/7F01.json
缂,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F02.json
缃,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F03.json
缄,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F04.json
缅,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F05.json
缆,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F06.json
缇,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F07.json
缈,C,not-resolved,,,,,not-resolved,data/chars/7F08.json
缉,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F09.json
缊,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F0A.json
缋,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F0B.json
缌,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F0C.json
缎,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F0E.json
缏,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F0F.json
缑,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F11.json
缒,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F12.json
缓,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F13.json
缔,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F14.json
缕,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F15.json
编,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F16.json
缗,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F17.json
缘,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F18.json
缙,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F19.json
缚,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F1A.json
缛,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F1B.json
缜,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F1C.json
缝,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F1D.json
缞,C,not-resolved,,,,,not-resolved,data/chars/7F1E.json
缟,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F1F.json
缠,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F20.json
缡,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F21.json
缢,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F22.json
缣,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F23.json
缤,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F24.json
缥,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F25.json
缦,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F26.json
缧,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F27.json
缨,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F28.json
缩,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F29.json
缪,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F2A.json
缫,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F2B.json
缬,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F2C.json
缭,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F2D.json
缮,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F2E.json
缯,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F2F.json
缰,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F30.json
缱,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F31.json
缲,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F32.json
缳,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F33.json
缴,A,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F34.json
缵,B,resolved,纟,糸,Bộ Mịch,120,record-radical,data/chars/7F35.json
缶,B,resolved,缶,缶,"Bộ Phẫu, Phữu",121,self-radical,radical_learning_notes.json
缸,A,resolved,缶,缶,"Bộ Phẫu, Phữu",121,record-radical,data/chars/7F38.json
缺,A,resolved,缶,缶,"Bộ Phẫu, Phữu",121,record-radical,data/chars/7F3A.json
罁,C,not-resolved,,,,,not-resolved,data/chars/7F41.json
罂,B,resolved,缶,缶,"Bộ Phẫu, Phữu",121,record-radical,data/chars/7F42.json
罃,C,not-resolved,,,,,not-resolved,data/chars/7F43.json
罄,A,resolved,缶,缶,"Bộ Phẫu, Phữu",121,record-radical,data/chars/7F44.json
罅,C,not-resolved,,,,,not-resolved,data/chars/7F45.json
罆,C,not-resolved,,,,,not-resolved,data/chars/7F46.json
罉,C,not-resolved,,,,,not-resolved,data/chars/7F49.json
罍,C,not-resolved,,,,,not-resolved,data/chars/7F4D.json
罎,C,not-resolved,,,,,not-resolved,data/chars/7F4E.json
罏,C,not-resolved,,,,,not-resolved,data/chars/7F4F.json
罐,A,resolved,缶,缶,"Bộ Phẫu, Phữu",121,record-radical,data/chars/7F50.json
网,A,resolved,网,网,Bộ Võng,122,self-radical,radical_learning_notes.json
罒,C,not-resolved,,,,,not-resolved,data/chars/7F52.json
罓,C,not-resolved,,,,,not-resolved,data/chars/7F53.json
罔,A,resolved,网,网,Bộ Võng,122,record-radical,data/chars/7F54.json
罕,C,not-resolved,,,,,not-resolved,data/chars/7F55.json
罖,C,not-resolved,,,,,not-resolved,data/chars/7F56.json
罗,A,resolved,网,网,Bộ Võng,122,record-radical,data/chars/7F57.json
罘,C,not-resolved,罒,,,,not-resolved,data/chars/7F58.json
罙,C,resolved,穴,穴,Bộ Huyệt,116,record-radical,data/chars/7F59.json
罚,C,not-resolved,,,,,not-resolved,data/chars/7F5A.json
罛,C,not-resolved,,,,,not-resolved,data/chars/7F5B.json
罝,C,not-resolved,,,,,not-resolved,data/chars/7F5D.json
罟,C,not-resolved,罒,,,,not-resolved,data/chars/7F5F.json
罠,C,not-resolved,,,,,not-resolved,data/chars/7F60.json
罡,C,not-resolved,罒,,,,not-resolved,data/chars/7F61.json
罢,A,resolved,网,网,Bộ Võng,122,record-radical,data/chars/7F62.json
罣,C,not-resolved,,,,,not-resolved,data/chars/7F63.json
罥,C,not-resolved,,,,,not-resolved,data/chars/7F65.json
罦,C,not-resolved,,,,,not-resolved,data/chars/7F66.json
罨,C,not-resolved,罒,,,,not-resolved,data/chars/7F68.json
罩,C,not-resolved,罒,,,,not-resolved,data/chars/7F69.json
罪,A,resolved,网,网,Bộ Võng,122,record-radical,data/chars/7F6A.json
罫,C,not-resolved,,,,,not-resolved,data/chars/7F6B.json
罭,C,not-resolved,,,,,not-resolved,data/chars/7F6D.json
置,A,resolved,网,网,Bộ Võng,122,record-radical,data/chars/7F6E.json
罱,C,not-resolved,罒,,,,not-resolved,data/chars/7F71.json
署,C,not-resolved,罒,,,,not-resolved,data/chars/7F72.json
罳,C,not-resolved,,,,,not-resolved,data/chars/7F73.json
罴,C,not-resolved,熊,,,,not-resolved,data/chars/7F74.json
罶,C,not-resolved,,,,,not-resolved,data/chars/7F76.json
罹,B,resolved,忄,心,Bộ Tâm,61,record-radical,data/chars/7F79.json
罻,C,not-resolved,,,,,not-resolved,data/chars/7F7B.json
罽,C,not-resolved,,,,,not-resolved,data/chars/7F7D.json
罾,C,not-resolved,罒,,,,not-resolved,data/chars/7F7E.json
罿,C,not-resolved,,,,,not-resolved,data/chars/7F7F.json
羀,C,not-resolved,,,,,not-resolved,data/chars/7F80.json
羁,C,not-resolved,,,,,not-resolved,data/chars/7F81.json
羂,C,not-resolved,,,,,not-resolved,data/chars/7F82.json
羃,C,not-resolved,,,,,not-resolved,data/chars/7F83.json
羇,C,not-resolved,,,,,not-resolved,data/chars/7F87.json
羊,A,resolved,羊,羊,Bộ Dương,123,self-radical,radical_learning_notes.json
羌,B,resolved,羊,羊,Bộ Dương,123,record-radical,data/chars/7F8C.json
羍,B,resolved,羊,羊,Bộ Dương,123,record-radical,data/chars/7F8D.json
美,A,resolved,羊,羊,Bộ Dương,123,record-radical,data/chars/7F8E.json
羑,C,not-resolved,,,,,not-resolved,data/chars/7F91.json
羔,A,resolved,羊,羊,Bộ Dương,123,record-radical,data/chars/7F94.json
羕,C,not-resolved,永,,,,not-resolved,data/chars/7F95.json
羖,C,not-resolved,,,,,not-resolved,data/chars/7F96.json
羚,B,resolved,羊,羊,Bộ Dương,123,record-radical,data/chars/7F9A.json
羜,C,not-resolved,,,,,not-resolved,data/chars/7F9C.json
羝,B,resolved,羊,羊,Bộ Dương,123,record-radical,data/chars/7F9D.json
羞,C,not-resolved,,,,,not-resolved,data/chars/7F9E.json
羟,B,resolved,羊,羊,Bộ Dương,123,record-radical,data/chars/7F9F.json
羡,C,not-resolved,,,,,not-resolved,data/chars/7FA1.json
羢,C,not-resolved,,,,,not-resolved,data/chars/7FA2.json
群,A,resolved,羊,羊,Bộ Dương,123,record-radical,data/chars/7FA4.json
羧,C,not-resolved,,,,,not-resolved,data/chars/7FA7.json
羭,C,not-resolved,,,,,not-resolved,data/chars/7FAD.json
羮,C,not-resolved,,,,,not-resolved,data/chars/7FAE.json
羯,B,resolved,羊,羊,Bộ Dương,123,record-radical,data/chars/7FAF.json
羰,C,not-resolved,炭,,,,not-resolved,data/chars/7FB0.json
羱,C,not-resolved,,,,,not-resolved,data/chars/7FB1.json
羲,C,not-resolved,,,,,not-resolved,data/chars/7FB2.json
羵,C,not-resolved,,,,,not-resolved,data/chars/7FB5.json
羶,C,not-resolved,,,,,not-resolved,data/chars/7FB6.json
羸,C,not-resolved,,,,,not-resolved,data/chars/7FB8.json
羹,C,not-resolved,,,,,not-resolved,data/chars/7FB9.json
羼,B,resolved,尸,尸,Bộ Thi,44,record-radical,data/chars/7FBC.json
羽,A,resolved,羽,羽,Bộ Vũ,124,self-radical,radical_learning_notes.json
羿,C,not-resolved,,,,,not-resolved,data/chars/7FBF.json
翀,C,not-resolved,,,,,not-resolved,data/chars/7FC0.json
翁,A,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FC1.json
翃,C,not-resolved,,,,,not-resolved,data/chars/7FC3.json
翅,A,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FC5.json
翊,B,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FCA.json
翌,C,not-resolved,,,,,not-resolved,data/chars/7FCC.json
翎,B,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FCE.json
翏,C,not-resolved,,,,,not-resolved,data/chars/7FCF.json
翔,A,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FD4.json
翕,C,not-resolved,,,,,not-resolved,data/chars/7FD5.json
翖,C,not-resolved,,,,,not-resolved,data/chars/7FD6.json
翘,B,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FD8.json
翙,C,not-resolved,,,,,not-resolved,data/chars/7FD9.json
翚,C,not-resolved,,,,,not-resolved,data/chars/7FDA.json
翛,C,not-resolved,,,,,not-resolved,data/chars/7FDB.json
翟,C,not-resolved,,,,,not-resolved,data/chars/7FDF.json
翠,A,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FE0.json
翡,A,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FE1.json
翣,C,not-resolved,,,,,not-resolved,data/chars/7FE3.json
翥,B,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FE5.json
翦,B,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FE6.json
翩,B,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FE9.json
翪,C,not-resolved,,,,,not-resolved,data/chars/7FEA.json
翮,B,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FEE.json
翯,C,not-resolved,,,,,not-resolved,data/chars/7FEF.json
翰,A,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FF0.json
翱,B,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FF1.json
翳,B,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FF3.json
翻,A,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FFB.json
翼,A,resolved,羽,羽,Bộ Vũ,124,record-radical,data/chars/7FFC.json
翾,C,not-resolved,,,,,not-resolved,data/chars/7FFE.json
翿,C,not-resolved,,,,,not-resolved,data/chars/7FFF.json
耀,C,not-resolved,,,,,not-resolved,data/chars/8000.json
老,A,resolved,老,老,Bộ Lão,125,self-radical,radical_learning_notes.json
耂,C,not-resolved,,,,,not-resolved,data/chars/8002.json
考,C,not-resolved,耂,,,,not-resolved,data/chars/8003.json
耄,B,resolved,老,老,Bộ Lão,125,record-radical,data/chars/8004.json
者,C,not-resolved,,,,,not-resolved,data/chars/8005.json
耆,B,resolved,老,老,Bộ Lão,125,record-radical,data/chars/8006.json
耇,C,not-resolved,,,,,not-resolved,data/chars/8007.json
耈,C,not-resolved,,,,,not-resolved,data/chars/8008.json
耉,C,not-resolved,,,,,not-resolved,data/chars/8009.json
耊,C,not-resolved,,,,,not-resolved,data/chars/800A.json
耋,B,resolved,老,老,Bộ Lão,125,record-radical,data/chars/800B.json
而,A,resolved,而,而,Bộ Nhi,126,self-radical,radical_learning_notes.json
耍,C,not-resolved,,,,,not-resolved,data/chars/800D.json
耎,C,not-resolved,,,,,not-resolved,data/chars/800E.json
耏,C,not-resolved,,,,,not-resolved,data/chars/800F.json
耐,C,not-resolved,,,,,not-resolved,data/chars/8010.json
耒,B,resolved,耒,耒,Bộ Lỗi,127,self-radical,radical_learning_notes.json
耔,B,resolved,耒,耒,Bộ Lỗi,127,record-radical,data/chars/8014.json
